,e10.soil.depth,e12.rock.cover,t01alt,awc15,bio01,bio05,bio06,gdd,nfd,rh410,t14stot,species
163,11.0,5.0,675.5859903,27.11903958,66.83327496,214.8238455,-70.1515774,1517.369033,150.9864085,6012.863711,5011478.444,PN
164,17.0,5.0,675.5013938,27.27871484,66.70772292,214.6911872,-70.26833381,1514.760929,151.1720895,6013.16636,4917494.6,PN
165,15.0,5.0,682.2072042,27.09587544,66.61628757,214.59426,-70.35185488,1512.858586,151.3184375,6013.881407,5080065.694,PN
166,15.0,5.0,751.4757271,21.68558883,70.94568785,219.1218118,-66.35868618,1604.212727,145.4818997,6002.087382,5500828.84,PN
167,17.0,5.0,747.7166413,21.72124768,70.78294493,218.9525058,-66.50911533,1600.762963,145.690299,6002.43467,5481120.117,PN
168,11.0,5.0,727.4763764,21.91276113,70.04721262,218.1844209,-67.19133863,1585.236556,146.6654694,6003.815755,5514625.509,PN
169,15.0,5.0,689.3859281,22.85744938,70.03510246,218.1680837,-67.20931635,1585.113112,146.730561,6003.205098,5356949.907,PN
170,12.0,5.0,682.5431468,23.02004544,70.02176206,218.1536276,-67.22275481,1584.851493,146.7553618,6003.129359,5336338.874,PN
171,17.0,5.0,681.4958065,22.99250922,69.93809549,218.0662163,-67.30017928,1583.085513,146.8668682,6003.30255,5335059.998,PN
172,15.0,5.0,672.6318578,23.18358845,69.88868458,218.0139575,-67.34725557,1582.06717,146.9413446,6003.277006,5309090.107,PN
173,6.0,5.0,677.8030628,23.11986606,69.99032747,218.1204592,-67.25255392,1584.200774,146.801701,6003.127248,5322650.826,PN
174,0.0,5.0,699.2237134,22.68372664,70.20043489,218.3414378,-67.05489089,1588.577778,146.5016876,6002.998349,5389600.101,PN
175,15.0,5.0,1004.336584,18.49290875,63.72575845,211.4759106,-72.97234826,1453.932966,156.1683783,6040.901636,5480171.35,PN
176,11.0,5.0,1004.337061,18.43616309,63.7532241,211.5052674,-72.94695774,1454.495289,156.117846,6040.753967,5498377.693,PN
177,6.0,5.0,1006.184202,18.32110728,63.33469644,211.062408,-73.33052298,1445.773606,156.7213643,6042.921383,5465522.185,PN
